,price_per_sqft
799,7346.189164370982
800,6060.583799508541
801,6427.9155188246095
802,5509.608144425195
803,9182.736455463728
804,7241.205608261271
805,6427.9155188246095
806,3060.912151821243
807,8080.80808080808
808,6905.367086375858
809,7713.470290283598
810,6296.700528922845
811,4297.504876015148
812,4407.713498622589
813,7529.816235753036
814,8815.426997245178
815,5662.6701479334315
816,3379.247015610652
817,11019.243271833711
818,10713.153180949443
819,8526.804337388594
820,10100.972999180904
821,9182.702726528092
822,13774.062522000238
823,5509.621635916856
824,8264.462809917355
825,6198.318648674707
826,7022.062239238418
827,6427.891908569665
828,5632.009403007003
829,4897.429461711285
830,7660.985643522794
831,7272.700559410249
832,9182.736455463728
833,9707.438784103937
834,4407.713498622589
835,7199.265381083563
836,4407.713498622589
837,6703.372990365508
838,6286.5982439906475
839,7713.498622589532
840,3673.094582185491
841,11019.283746556473
842,6391.184573002754
843,7754.279137724159
844,3902.6450750914823
845,5968.7567722432605
846,7754.279137724159
847,8999.04867199753
848,5509.641873278237
849,8815.405410699943
850,5509.608144425195
851,8723.599632690542
852,4591.351363264046
853,6060.568958867714
854,3917.9675543311905
855,3778.0203173537066
856,6887.02704489607
857,3673.094582185491
858,6121.824303642486
859,8476.312239088513
860,9182.736455463728
861,8080.778399344722
862,4197.811366099
863,9794.882908296633
864,6821.4255729997485
865,10713.153180949443
866,7897.1243448141595
867,6336.0590630897
868,7346.135198272189
869,7870.8756611535555
870,8815.405410699943
871,12331.038535807236
872,9182.702726528092
873,3673.0777177331597
874,7346.189164370982
875,6721.763085399449
876,6887.052341597796
877,5509.621635916856
878,3060.912151821243
879,11019.283746556473
880,9641.837862854498
881,9182.736455463728
882,5754.514845423936
883,6366.697275788185
884,7162.508126691912
885,8007.316777532497
886,5509.621635916856
887,6734.006734006734
888,2295.6770870000396
889,8448.11753902663
890,9366.356781058656
891,6244.260789715335
892,11019.243271833711
893,7346.159183107098
894,7958.371594735231
895,8815.426997245178
896,9182.736455463728
897,6559.097468188378
898,6060.583799508541
899,5509.641873278237
900,10407.101316192226
901,3856.735145141799
902,7652.256956666799
903,11019.243271833711
904,9934.018084921663
905,7529.843893480257
906,10468.281108242027
907,3489.4270360806754
908,8080.778399344722
909,5771.975484845941
910,7346.189164370982
911,2938.475665748393
912,3948.5766758494033
913,10100.972999180902
914,5375.236286428424
915,8723.599632690542
916,5968.7567722432605
917,5754.514845423936
918,10232.165204866313
919,6313.109573773277
920,6427.88600603303
921,8111.392374066807
922,7346.189164370982
923,7547.43563295311
924,6887.020720749674
925,7529.816235753036
926,5876.951331496786
927,5142.294638790532
928,9182.705224959273
929,6611.545963100227
930,4625.346901017576
931,6978.854072161351
932,6244.260789715335
933,3673.0675991360945
934,6657.459476732867
935,5509.621635916856
936,4652.586470768289
937,4040.40404040404
